PLAYER,PTS,FGP,P3PP,FTP,REB,AST,STL,BLK,TOV,EFF
Russell Westbrook,1,0.775547445,0.814726841,0.926535088,0.869918699,0.928571429,0.8,0.181818182,0.947368421,1
James Harden,0.920886076,0.802919708,0.824228029,0.92872807,0.658536585,1,0.75,0.227272727,1,0.958579882
Isaiah Thomas,0.914556962,0.844890511,0.90023753,0.996710526,0.219512195,0.526785714,0.45,0.090909091,0.49122807,0.730769231
Anthony Davis,0.886075949,0.921532847,0.710213777,0.879385965,0.959349593,0.1875,0.65,1,0.421052632,0.920118343
DeMar DeRozan,0.863924051,0.852189781,0.631828979,0.923245614,0.422764228,0.348214286,0.55,0.090909091,0.421052632,0.671597633
Damian Lillard,0.85443038,0.810218978,0.878859857,0.981359649,0.398373984,0.526785714,0.45,0.136363636,0.456140351,0.724852071
DeMarcus Cousins,0.85443038,0.824817518,0.857482185,0.846491228,0.894308943,0.410714286,0.7,0.590909091,0.649122807,0.843195266
LeBron James,0.835443038,1,0.862232779,0.739035088,0.699186992,0.776785714,0.6,0.272727273,0.719298246,0.917159763
Kawhi Leonard,0.806962025,0.885036496,0.902612827,0.964912281,0.471544715,0.3125,0.9,0.318181818,0.368421053,0.74852071
Stephen Curry,0.800632911,0.854014599,0.976247031,0.984649123,0.365853659,0.589285714,0.9,0.090909091,0.526315789,0.74556213
Kyrie Irving,0.797468354,0.863138686,0.952494062,0.992324561,0.260162602,0.517857143,0.55,0.136363636,0.438596491,0.662721893
Karl-Anthony Towns,0.794303797,0.989051095,0.871733967,0.912280702,1,0.241071429,0.35,0.590909091,0.456140351,0.896449704
Kevin Durant,0.794303797,0.979927007,0.890736342,0.959429825,0.674796748,0.428571429,0.55,0.727272727,0.385964912,0.893491124
Jimmy Butler,0.756329114,0.830291971,0.871733967,0.948464912,0.504065041,0.491071429,0.95,0.181818182,0.368421053,0.75739645
Paul George,0.75,0.841240876,0.933491686,0.984649123,0.536585366,0.294642857,0.8,0.181818182,0.50877193,0.662721893
Andrew Wiggins,0.746835443,0.824817518,0.845605701,0.833333333,0.325203252,0.205357143,0.5,0.181818182,0.403508772,0.5
Kemba Walker,0.734177215,0.810218978,0.947743468,0.92872807,0.317073171,0.491071429,0.55,0.136363636,0.368421053,0.618343195
John Wall,0.731012658,0.822992701,0.77672209,0.878289474,0.341463415,0.955357143,1,0.272727273,0.719298246,0.73964497
Bradley Beal,0.731012658,0.879562044,0.959619952,0.904605263,0.25203252,0.3125,0.55,0.136363636,0.350877193,0.571005917
CJ McCollum,0.727848101,0.875912409,1,1,0.292682927,0.321428571,0.45,0.227272727,0.368421053,0.582840237
Giannis Antetokounmpo,0.724683544,0.950729927,0.64608076,0.844298246,0.715447154,0.482142857,0.8,0.863636364,0.50877193,0.840236686
Carmelo Anthony,0.708860759,0.790145985,0.852731591,0.913377193,0.479674797,0.258928571,0.4,0.227272727,0.368421053,0.562130178
Kyle Lowry,0.708860759,0.846715328,0.978622328,0.898026316,0.390243902,0.625,0.75,0.136363636,0.50877193,0.701183432
Klay Thompson,0.705696203,0.854014599,0.983372922,0.935307018,0.300813008,0.1875,0.4,0.227272727,0.280701754,0.532544379
Devin Booker,0.699367089,0.77189781,0.862232779,0.912280702,0.260162602,0.303571429,0.45,0.136363636,0.543859649,0.452662722
Gordon Hayward,0.693037975,0.859489051,0.945368171,0.925438596,0.43902439,0.3125,0.5,0.136363636,0.333333333,0.615384615
Blake Griffin,0.683544304,0.899635036,0.798099762,0.833333333,0.658536585,0.4375,0.45,0.181818182,0.403508772,0.707100592
Eric Bledsoe,0.667721519,0.791970803,0.795724466,0.92872807,0.390243902,0.5625,0.7,0.227272727,0.596491228,0.615384615
Brook Lopez,0.648734177,0.864963504,0.821852732,0.888157895,0.43902439,0.205357143,0.25,0.727272727,0.438596491,0.556213018
Mike Conley,0.648734177,0.839416058,0.96912114,0.941885965,0.284552846,0.5625,0.65,0.136363636,0.403508772,0.621301775
Average,0.772995781,0.858576642,0.868725257,0.917799708,0.49403794,0.460119048,0.611666667,0.292424242,0.491812866,0.711637081
